@relation vectores
@attribute Feature0 numeric
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute Feature32 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature35 numeric
@attribute Feature36 numeric
@attribute Feature37 numeric
@attribute Feature38 numeric
@attribute Feature39 numeric
@attribute Feature40 numeric
@attribute Feature41 numeric
@attribute Feature42 numeric
@attribute Feature43 numeric
@attribute Feature44 numeric
@attribute Feature45 numeric
@attribute Feature46 numeric
@attribute Feature47 numeric
@attribute Feature48 numeric
@attribute Feature49 numeric
@attribute Feature50 numeric
@attribute Feature51 numeric
@attribute Feature52 numeric
@attribute Feature53 numeric
@attribute Feature54 numeric
@attribute Feature55 numeric
@attribute Feature56 numeric
@attribute Feature57 numeric
@attribute Feature58 numeric
@attribute Feature59 numeric
@attribute Feature60 numeric
@attribute Feature61 numeric
@attribute Feature62 numeric
@attribute Feature63 numeric
@attribute Feature64 numeric
@attribute Feature65 numeric
@attribute Feature66 numeric
@attribute Feature67 numeric
@attribute Feature68 numeric
@attribute Feature69 numeric
@attribute Feature70 numeric
@attribute Feature71 numeric
@attribute class {D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D12,D13,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99}
@data
0.209672,0.131312,0.156892,0.0981301,0.141853,0.0910718,0.140678,0.111431,0.149248,0.0746622,0.194275,0.0994875,0.0957271,0.0621744,0.0722452,0.044652,0.0869828,0.0489524,0.106905,0.0445329,0.0744282,0.0409936,0.0834725,0.0522105,0.0548606,0.031545,0.0517611,0.0299373,0.0496907,0.027571,0.055226,0.0280381,0.0479849,0.0354049,0.0476548,0.0340724,0.0334169,0.0218258,0.0283116,0.0163827,0.0282192,0.0161039,0.0256586,0.0148397,0.0245688,0.0146576,0.0265838,0.0165524,0.017526,0.0116918,0.017112,0.0108669,0.0162622,0.00980633,0.0153844,0.00936526,0.0133522,0.00831759,0.0144332,0.00922304,0.00569598,0.00399301,0.00548428,0.00358506,0.00559052,0.00355532,0.00572641,0.00391782,0.00532098,0.00353409,0.00503074,0.00345391,D100
0.22479,0.11859,0.166414,0.0892972,0.134993,0.0643019,0.152918,0.0752423,0.157222,0.0633421,0.177575,0.0720421,0.0808309,0.0386506,0.094277,0.0465552,0.114885,0.0516897,0.122614,0.0744707,0.118546,0.0535383,0.056025,0.0286738,0.0578235,0.034203,0.0525637,0.0300012,0.0454105,0.0232442,0.0540859,0.0310134,0.0505392,0.0258474,0.0522961,0.0328739,0.0345712,0.0195677,0.0302497,0.0159767,0.0287063,0.0165349,0.0281244,0.015094,0.0288361,0.0168294,0.0283251,0.0168514,0.0154373,0.00929007,0.0156637,0.00893179,0.0160856,0.00911649,0.01457,0.00827453,0.0133091,0.00773574,0.0140717,0.00826325,0.00528068,0.00334783,0.00526701,0.00317388,0.00543971,0.00322666,0.00565241,0.00359672,0.00501127,0.00298538,0.00479703,0.00291833,D100
0.186986,0.0990794,0.144562,0.0785265,0.211307,0.0971188,0.24942,0.10123,0.193845,0.0953017,0.213371,0.106045,0.0900559,0.0549487,0.0885546,0.0415369,0.111227,0.0564562,0.108414,0.0515644,0.115087,0.0706364,0.11771,0.0517366,0.0586954,0.0345807,0.0652382,0.0279368,0.0575381,0.036576,0.0636376,0.0341174,0.0531846,0.0292222,0.0550641,0.0277064,0.0394046,0.0236674,0.0404659,0.0244336,0.0347186,0.0197865,0.0332085,0.020351,0.0297739,0.0171846,0.0280478,0.0159833,0.0165522,0.00976312,0.0196256,0.012222,0.0183399,0.0110641,0.0174541,0.0105497,0.0137998,0.00810537,0.0130077,0.00737768,0.00434905,0.00276263,0.00497399,0.00315483,0.00518523,0.00337336,0.00499825,0.00340074,0.00403807,0.00259544,0.00363716,0.00219586,D100
0.171728,0.0935441,0.150499,0.0667774,0.161338,0.0840709,0.208309,0.129548,0.182069,0.0955106,0.200745,0.0941081,0.0852389,0.0418832,0.0914711,0.0403381,0.106298,0.0528446,0.127777,0.0846128,0.134446,0.0544008,0.115063,0.0538722,0.0597384,0.0303494,0.0519476,0.0280412,0.0477734,0.0235484,0.0552811,0.0282461,0.0557814,0.0264572,0.0530991,0.0288609,0.0325406,0.0183331,0.0305274,0.0172779,0.0317872,0.0195428,0.0317773,0.0187229,0.0313115,0.0168709,0.0287073,0.016217,0.0142083,0.00857913,0.0144684,0.00861824,0.014471,0.00858217,0.0141242,0.00814952,0.0131677,0.00746479,0.0126721,0.0071845,0.0032173,0.00207274,0.00322715,0.00203082,0.00333593,0.00203366,0.00358054,0.00234834,0.00323743,0.00193931,0.00305482,0.0018309,D100
0.172348,0.0754902,0.16329,0.085376,0.191903,0.0726095,0.214816,0.0894589,0.187327,0.0950831,0.16709,0.0692686,0.101064,0.060848,0.0992273,0.0384503,0.103112,0.0547142,0.106803,0.0613517,0.1043,0.0536871,0.0956671,0.0468948,0.0666767,0.0393108,0.0665359,0.0398546,0.056925,0.0291161,0.0539418,0.0307874,0.056105,0.035452,0.064428,0.0313973,0.0365087,0.0215678,0.0407391,0.0218551,0.0406101,0.0226554,0.0318361,0.0183738,0.030319,0.016557,0.0315905,0.0171116,0.0196552,0.0114891,0.0219464,0.0135522,0.0229316,0.0139756,0.0185662,0.0108899,0.0162433,0.00927332,0.0165764,0.00957071,0.00589281,0.00382199,0.00640101,0.00397004,0.00674066,0.00416402,0.00666879,0.00442536,0.00563646,0.00342086,0.00527504,0.00321891,D100
0.166302,0.0657236,0.111965,0.0502082,0.140776,0.0665167,0.220262,0.121625,0.204558,0.0978148,0.177691,0.0770535,0.0941877,0.0437365,0.0763851,0.0413378,0.081505,0.0358904,0.133609,0.0758713,0.11527,0.0593621,0.0865806,0.0484831,0.0498598,0.0295258,0.0439628,0.0204258,0.0407166,0.021885,0.0529719,0.0328021,0.0528552,0.0269731,0.0505156,0.0273046,0.0296858,0.0193121,0.0288762,0.0171253,0.0280165,0.0162698,0.0276009,0.0174073,0.0263071,0.0155476,0.027127,0.0153193,0.0152658,0.0100762,0.0162172,0.010963,0.0163227,0.0102225,0.0152125,0.0101264,0.0131464,0.00814682,0.013244,0.00836583,0.00470572,0.00336114,0.00483508,0.00333253,0.00498433,0.00343279,0.00490616,0.00360969,0.00427327,0.00285026,0.00420421,0.00284927,D100
0.189723,0.0828535,0.151557,0.0685681,0.132021,0.0628427,0.173327,0.101419,0.181158,0.0758227,0.166854,0.0829242,0.105958,0.0617195,0.101057,0.0562952,0.0759104,0.0428777,0.17772,0.076875,0.128737,0.0661858,0.0927599,0.0551414,0.0522097,0.0324562,0.0524112,0.0265038,0.0461389,0.0246231,0.0573954,0.0366096,0.0620165,0.0338003,0.0562931,0.0271417,0.0320989,0.0176918,0.0305477,0.0156679,0.0283775,0.0147194,0.0308188,0.0163642,0.0270875,0.0142988,0.0285569,0.0145322,0.0160952,0.00918139,0.0168162,0.0100537,0.017172,0.00950967,0.0157754,0.00913142,0.0146785,0.0084083,0.0149019,0.00829442,0.00487212,0.00305337,0.00504062,0.00310191,0.0052479,0.00314957,0.00548648,0.00349006,0.00470324,0.00276107,0.0046131,0.0027741,D100
0.176998,0.0730992,0.155829,0.0688853,0.182388,0.0676209,0.204577,0.0939898,0.159903,0.100702,0.20571,0.109134,0.0970221,0.0498141,0.0853199,0.0416917,0.0948185,0.0569077,0.127929,0.0735423,0.0904217,0.0506287,0.0893531,0.049733,0.0573926,0.0360316,0.0481664,0.0298761,0.0475765,0.0253413,0.05704,0.0357269,0.0486334,0.0321404,0.0494619,0.0285876,0.0303015,0.0191872,0.0285774,0.0161825,0.028184,0.0171709,0.0281191,0.0163736,0.0248104,0.0143555,0.0291417,0.0176452,0.0147329,0.00979025,0.0152789,0.00952567,0.0149618,0.00928888,0.0139635,0.00871781,0.0128128,0.00813241,0.013209,0.00858136,0.00517788,0.00346274,0.00516274,0.00329493,0.00525923,0.00332339,0.00532809,0.00368788,0.00490914,0.00321066,0.00478487,0.00317818,D100
0.189036,0.128904,0.196638,0.0852224,0.208346,0.10857,0.212196,0.0980294,0.145857,0.0862732,0.17342,0.103091,0.121637,0.0562798,0.076667,0.0371931,0.125139,0.0518438,0.121231,0.065163,0.102062,0.0483227,0.110992,0.0533271,0.0609702,0.0332228,0.0561728,0.0269569,0.0541572,0.02585,0.0610005,0.0355239,0.0663617,0.03693,0.0570599,0.0294732,0.0357802,0.0194089,0.0340327,0.0192102,0.0318897,0.0182084,0.030851,0.0165024,0.0289674,0.0175172,0.0290878,0.0155452,0.0163727,0.00949403,0.0166371,0.00954083,0.0174397,0.0108327,0.0160247,0.00943525,0.0136519,0.007645,0.0134932,0.00786386,0.00415381,0.00265534,0.00430914,0.00270577,0.00430823,0.00278319,0.00404267,0.00271941,0.00350344,0.00216975,0.0034774,0.00208189,D100
0.202201,0.0889497,0.114036,0.0546418,0.128333,0.0560118,0.172091,0.0822255,0.166844,0.0705165,0.206872,0.0889595,0.0800278,0.0476602,0.0686507,0.0343143,0.0627178,0.0366442,0.0830439,0.042152,0.0672443,0.0388064,0.0844267,0.047815,0.0575339,0.0322535,0.0578559,0.0285291,0.057646,0.0308891,0.0545889,0.0289901,0.0478599,0.0327421,0.0542326,0.0284311,0.0354078,0.0211235,0.0320086,0.0182604,0.0323788,0.0193271,0.0263547,0.0144243,0.0261669,0.0147742,0.0301951,0.018607,0.0187217,0.0118903,0.0184759,0.0114563,0.0176818,0.0103431,0.0163611,0.00998812,0.0140785,0.00837968,0.0156728,0.00965049,0.00612976,0.004071,0.00597416,0.00376209,0.00617572,0.00377598,0.00624932,0.00410708,0.00572294,0.00359474,0.00551008,0.00356554,D100
