@relation vectores
@attribute Feature0 numeric
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute class {D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D12,D13,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99}
@data
0.281381,0.123495,0.0564972,0.127241,0.035495,0.0140015,0.0499263,0.114714,0.0611643,0.0175633,0.00773766,0.0194056,0.0526898,0.016028,0.0639278,0.129882,0.1028,0.0611029,0.0169492,0.050786,0.014677,0.00945714,0.0175018,0.0579096,0.114284,0.0494964,0.0162122,0.0428028,0.117784,0.0595063,0.129329,0.373803,D100
0.276713,0.11453,0.0563129,0.123311,0.0348809,0.0152911,0.0512159,0.124724,0.0576026,0.0182388,0.0115451,0.0219848,0.0510317,0.0167649,0.0665684,0.131356,0.107836,0.0631909,0.0144928,0.0478384,0.0151683,0.0108696,0.0173176,0.0673053,0.124048,0.0485753,0.0163351,0.0411447,0.120671,0.0523213,0.120609,0.365758,D100
0.239683,0.137865,0.0471014,0.143208,0.0251167,0.0111766,0.0408376,0.130435,0.0502948,0.0151683,0.0085974,0.016028,0.0428642,0.0106853,0.0724638,0.144559,0.128163,0.0796487,0.0127733,0.0444608,0.0124662,0.0102555,0.012589,0.049128,0.135716,0.0421887,0.0178703,0.0329157,0.13805,0.045382,0.157394,0.350467,D100
0.213891,0.12239,0.0441538,0.162614,0.0257308,0.0100712,0.0424343,0.169062,0.0460575,0.0117293,0.00841317,0.0152911,0.0462417,0.0103169,0.0664456,0.154692,0.114898,0.0727094,0.0101941,0.0505404,0.010931,0.00571113,0.0114223,0.0463645,0.168018,0.0484525,0.0138172,0.0345124,0.156841,0.0427413,0.144375,0.32449,D100
0.262466,0.130005,0.0518914,0.123066,0.0312577,0.0151069,0.0461189,0.117723,0.0544092,0.0186072,0.0114223,0.0181159,0.0493122,0.0150454,0.0727094,0.14026,0.113424,0.0690248,0.0147384,0.0505404,0.0155367,0.00988701,0.0152297,0.0583395,0.120609,0.0421272,0.0157824,0.0385041,0.119872,0.0504176,0.144068,0.369934,D100
0.269406,0.123066,0.0486367,0.126996,0.0339597,0.0127119,0.0499877,0.128101,0.0520757,0.0144313,0.00915009,0.0156595,0.0469172,0.0131417,0.0680422,0.137558,0.113608,0.0623311,0.0149226,0.047777,0.0133874,0.0079833,0.0152297,0.0533039,0.125706,0.0485753,0.0175633,0.0382584,0.128224,0.0542864,0.13369,0.380865,D100
0.257246,0.1211,0.0537337,0.142717,0.035802,0.0123434,0.0502334,0.139155,0.0577868,0.016028,0.00957996,0.0183616,0.0480226,0.0147384,0.0653402,0.137927,0.110661,0.0672439,0.0132031,0.0488823,0.0140629,0.00884304,0.0132031,0.0582167,0.134795,0.0472857,0.0138787,0.0382584,0.124478,0.0488209,0.127119,0.356485,D100
0.281565,0.116249,0.0582781,0.117907,0.0385655,0.0167649,0.0497421,0.111521,0.0583395,0.0172562,0.0113608,0.0215549,0.0517686,0.0178703,0.0644805,0.129944,0.102677,0.0588308,0.0172562,0.048084,0.0182388,0.0111152,0.017379,0.0645419,0.117109,0.04704,0.0174404,0.040899,0.113424,0.0549005,0.125829,0.38762,D100
0.231147,0.132523,0.0461803,0.158868,0.0273888,0.0103169,0.0447065,0.149902,0.0415746,0.012282,0.00810612,0.0135102,0.0406534,0.0109924,0.0796487,0.150516,0.124294,0.0703144,0.010931,0.0453206,0.00994842,0.006141,0.0100098,0.0443994,0.146217,0.0428642,0.0133874,0.0306436,0.149349,0.0451977,0.152235,0.345984,D100
0.286969,0.124171,0.0571113,0.123803,0.0339597,0.0148612,0.0491894,0.109862,0.0610415,0.0172562,0.00902727,0.0199582,0.0522599,0.0163351,0.0668141,0.12589,0.10237,0.0611029,0.0161508,0.0509703,0.015721,0.0102555,0.0165807,0.0617784,0.115267,0.0466102,0.0159052,0.0433554,0.117354,0.0582167,0.132584,0.37282,D100
